google,link,Gender,Rank,year,ecology,macroecology_081512,communityecology_073112,conservation biology 082112,physiological ecology_073112,behavioral ecology 080712,behavioural ecology080912,ecosystem ecology 081912,population_ecology_080912,evolutionary_ecology 080212,theoretical_ecology081412,landscape_ecology081512,paleoecology081512
Dr. Avishek Bhattacharjee,http://scholar.google.com/citations?user=uIncM7EAAAAJ&hl=en,m,postdoc,2011,,,,697,,,,,,,,,
Dr. Cristian E Hernandez,http://scholar.google.com/citations?user=ZizSEH4AAAAJ&hl=en,m,associate,2004,,89,,,,,,,,177,,,
Dr. Daniel Falster,http://scholar.google.com/citations?user=Ef_nLusAAAAJ&hl=en,m,postdoc,2010,,,,,,,,,,43,,,
Dr. Danielle Shanahan,http://scholar.google.com/citations?user=rnY3-yIAAAAJ&hl=en,f,postdoc,2010,1333,,,,,,,,,,,,
Dr. Dave Hodgson,http://scholar.google.com/citations?user=r2lDw6QAAAAJ&hl=en,m,associate,1998,543,,,,,,,,,,,,
Dr. David T Bilton,http://scholar.google.com/citations?user=nvH_gUAAAAAJ&hl=en,m,associate professor,1991,359,,,,,,,,,,,,
Dr. Florian Jansen,http://scholar.google.com/citations?user=SQTXmrAAAAAJ&hl=en,m,,2004,,96,,,,,,,,,,,
Dr. Jason D. Hoeksema,http://scholar.google.com/citations?user=oQ_ssPUAAAAJ&hl=en,m,assistant,2002,,,54,,,,,,,,,,
Dr. MZ Ahmed,http://scholar.google.com/citations?user=-at-_dcAAAAJ&hl=en,m,postdoc,-999,1232,,,,,,,,,,,,
Dr. Neil Reid,http://scholar.google.com/citations?user=c-X77GYAAAAJ&hl=en,m,,2006,,,,547,,,,,,,,,
Dr. Olga Barbosa,http://scholar.google.com/citations?user=McN2nPIAAAAJ&hl=en,f,,2005,,,,,,,,59,,,,,
Dr. Ramon Perea,http://scholar.google.com/citations?user=21zuA5MAAAAJ&hl=en,m,,-999,1420,,,,,,,,,,,,
Dr. Stephan Unger,http://scholar.google.com/citations?user=l0cQhe8AAAAJ&hl=en,m,postdoc,2007,1224,,,,,,,,,,,,
Dr.R. Prakashkumar,http://scholar.google.com/citations?user=AanL30kAAAAJ&hl=en,,,-999,,,,613,,,,,,,,,
Drew O'Kane,http://scholar.google.com/citations?user=Hq2QLmIAAAAJ&hl=en,m,student,0,1693,,,,,,,,,,,,
Drew R. Davis,http://scholar.google.com/citations?user=FLCmp9EAAAAJ&hl=en,m,student,0,,,,734,,192,,,,,,,
Dries Bonte,http://scholar.google.com/citations?user=qmL0H9gAAAAJ&hl=en,m,,-999,,,,,,,,,,79,,,
Dror Hawlena,http://scholar.google.com/citations?user=M0JOtjoAAAAJ&hl=en,m,,2006,,,,,,86,,,,,,,
Duncan Irschick,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en,m,full,1996,,,,,,17,,,,,,,
Duncan NL Menge,http://scholar.google.com/citations?user=l_8ZFGIAAAAJ&hl=en,m,postdoc,2008,858,,,,,,,,,,,,
Dunia H. Urrego,http://scholar.google.com/citations?user=GJ0yDhsAAAAJ&hl=en,f,,2006,,,,,,,,,,,,,47
Dustin G. Reichard,http://scholar.google.com/citations?user=TyJ1jhgAAAAJ&hl=en,m,student,0,,,,,,171,,,,,,,
Dylan Fraser,http://scholar.google.com/citations?user=SuFAJFMAAAAJ&hl=en,m,assistant,2005,,,,175,,,,,,78,,,
Dylan O. Burge,http://scholar.google.com/citations?user=4kcjgV8AAAAJ&hl=en,m,postdoc,2011,1535,,,,,,,,,,,,
E Ashley Steel,http://scholar.google.com/citations?user=kDhS0UUAAAAJ&hl=en,f,,1999,,,,,,,,,,,,58,
E Penelope Holland,http://scholar.google.com/citations?user=onuKasAAAAAJ&hl=en,f,,-999,,,,,,,,,,,,150,
Eben Broadbent,http://scholar.google.com/citations?user=uPkV21MAAAAJ&hl=en,m,student,0,,,,225,,,,,,,,,
Ed Lowry,http://scholar.google.com/citations?user=Tc_JafsAAAAJ&hl=en,m,assistant,2007,825,,,,,,,,,,,,
Edgar C Turner,http://scholar.google.com/citations?user=pR-GL-AAAAAJ&hl=en,m,,-999,1170,,,463,,,,,,,,,
Edith Bai,http://scholar.google.com/citations?user=oprxP30AAAAJ&hl=en,f,,-999,,,,,,,,75,,,,,
Edmund Hart,http://scholar.google.com/citations?user=tGhgVF8AAAAJ&hl=en,m,postdoc,2011,1672,,,,,,,,,,,,
Edson Gandiwa,http://scholar.google.com/citations?user=NqFvFLkAAAAJ&hl=en,m,student,0,1373,,,,,,,,,,,,
Eduardo A. Silva-Rodriguez,http://scholar.google.com/citations?user=NDtBvmsAAAAJ&hl=en,m,student,0,1358,,,591,,,,,,,,,
Eduardo de la Pena,http://scholar.google.com/citations?user=UVdPk5sAAAAJ&hl=en,m,,2006,,,124,,,,,,,,,,
Eduardo Ferreira,http://scholar.google.com/citations?user=xd_b_8gAAAAJ&hl=en,m,,-999,1379,,,,,,,,,,,,
Eduardo Marabuto,http://scholar.google.com/citations?user=X-K0Xr4AAAAJ&hl=en,m,student,0,1454,,,,,,,,,,,,
Eduardo Mendes da Silva,http://scholar.google.com/citations?user=OeEwpLUAAAAJ&hl=en,m,,-999,1073,,,,,,,,,,,,
Eduardo SA Santos,http://scholar.google.com/citations?user=aPFBOpkAAAAJ&hl=en,m,student,0,,,,,,126,,,,,,,
Edward A. Codling,http://scholar.google.com/citations?user=NPWLckEAAAAJ&hl=en,m,associate,2003,,,,,,,,,,,40,,
Edward C Theriot,http://scholar.google.com/citations?user=22aEccUAAAAJ&hl=en,m,full,1983,363,,,,,,,,,,,,
Edward Davis,http://scholar.google.com/citations?user=7CLJuXYAAAAJ&hl=en,m,,-999,,82,,,,,,,,,,,
edward francis delong,http://scholar.google.com/citations?user=wEkWbTQAAAAJ&hl=en,m,full,1986,12,,,,,,,,,,,,
Edward K Waters,http://scholar.google.com/citations?user=V17ehcsAAAAJ&hl=en,m,,-999,1543,,,,,,,,,,,,
Edward Maclin,http://scholar.google.com/citations?user=b8RUdW0AAAAJ&hl=en,m,student,0,,,,735,,,,,,,,,
Edward P. Levri,http://scholar.google.com/citations?user=9-DyTg8AAAAJ&hl=en,m,associate,1997,,,,,,,,,,158,,,
Elek Zoltan,http://scholar.google.com/citations?user=-f3s46IAAAAJ&hl=en,,,2005,889,,,,,,,,,,,,
Elena Marinova,http://scholar.google.com/citations?user=U_im9aYAAAAJ&hl=en,f,,2001,,,,,,,,,,,,,50
Eli M. Swanson,http://scholar.google.com/citations?user=XoLDsiUAAAAJ&hl=en,m,student,0,,,,,,,,,,219,,,
Eliot McIntire,http://scholar.google.com/citations?user=5esQPXgAAAAJ&hl=en,m,associate,2003,909,,,,,,,,,,,,
Elisabeth Bik,http://scholar.google.com/citations?user=Jo9LMfoAAAAJ&hl=en,f,,-999,161,,,,,,,,,,,,
Elise Pendall,http://scholar.google.com/citations?user=rxFuMy0AAAAJ&hl=en,f,associate,1997,408,,,,,,,,,,,,
Elita Baldridge,http://scholar.google.com/citations?user=BHY3EXUAAAAJ&hl=en,f,student,0,,148,316,,,,,,,,,,
Elizabeth A. Flaherty,http://scholar.google.com/citations?user=ojZnKYYAAAAJ&hl=en,f,,2008,1306,,,,,,,,,,,,
Elizabeth A. Roznik,http://scholar.google.com/citations?user=LMPfbVYAAAAJ&hl=en,f,student,0,,,,,,,,,,,,,
Elizabeth Boyer,http://scholar.google.com/citations?user=mBle9rsAAAAJ&hl=en,f,associate,1998,174,,,,,,,,,,,,
Elizabeth Cash,http://scholar.google.com/citations?user=WT47fVUAAAAJ&hl=en,f,student,0,,,,,,127,,,,,,,
Elizabeth Gow,http://scholar.google.com/citations?user=qbW4LkQAAAAJ&hl=en,f,student,0,1111,,,,,,,,,,,,
Elizabeth Madin,http://scholar.google.com/citations?user=YbSevQ8AAAAJ&hl=en,f,postdoc,2009,537,,,,,,,,,,,,
Elizabeth Pringle,http://scholar.google.com/citations?user=xati_68AAAAJ&hl=en,f,postdoc,-999,940,,,,,,,,,,,,
Elizabeth Roznik,http://scholar.google.com/citations?user=LMPfbVYAAAAJ&hl=en,f,student,0,1361,,,,,,,,,,,,
Ella Vazquez Dominguez,http://scholar.google.com/citations?user=OgEZg-8AAAAJ&hl=en,f,,-999,880,,,,,,,,,,,,
Ellen Currano,http://scholar.google.com/citations?user=wj6mD5QAAAAJ&hl=en,f,assistant,2008,,,,,,,,,,,,,61
Ellen K Pikitch,http://scholar.google.com/citations?user=gUQrrA8AAAAJ&hl=en,f,full,1983,254,,,,,,,,,,,,
Ellen Simms,http://scholar.google.com/citations?user=g--NxecAAAAJ&hl=en,f,full,1983,,,,,,,,,,39,,,
Ellen van Donk,http://scholar.google.com/citations?user=2FLX7okAAAAJ&hl=en,f,full,1983,107,,,,,,,,,,,,
Elodie JI Ledee,http://scholar.google.com/citations?user=BpaeOY0AAAAJ&hl=en,f,student,0,,,,,,,103,,,,,,
Eloy Revilla,http://scholar.google.com/citations?user=rAnRQ3IAAAAJ&hl=en,m,,1998,261,,,84,,,,,,,,,
Elva Robinson,http://scholar.google.com/citations?user=FZZX_koAAAAJ&hl=en,f,,2006,,,,,,,,,,,45,,
Elvira Cuevas,http://scholar.google.com/citations?user=l9XxHzAAAAAJ&hl=en,f,full,1983,253,,,,,,,,,,,,
Elvira Poloczanska,http://scholar.google.com/citations?user=xWqZd_8AAAAJ&hl=en,f,,-999,616,,,,,,,,,,,,
Elze Hesse,http://scholar.google.com/citations?user=UEJhT84AAAAJ&hl=en,f,,-999,1414,,,,,,,,,,,,
Elze Hesse,,,,2006,,,,,,,,,,,,,
Emanuel A. Fronhofer,http://scholar.google.com/citations?user=90gxLEYAAAAJ&hl=en,m,,-999,,,,,,,,,,,76,,
Emanuel Teixeira da Silva,http://scholar.google.com/citations?user=IEdXznkAAAAJ&hl=en,m,,-999,1590,,,674,,,,,,,,,
Emili Garcia-Berthou,http://scholar.google.com/citations?user=OG5WezAAAAAJ&hl=en,m,full,1994,276,,,,,,,,,,,,
Emilio Civantos,http://scholar.google.com/citations?user=iXuK0J4AAAAJ&hl=en,m,,-999,,88,,379,,,58,,51,175,,,
Emilio Garcia-Robledo,http://scholar.google.com/citations?user=JpjaTv0AAAAJ&hl=en,m,postdoc,-999,1348,,,,,,,,,,,,
Emily B. Cohen,http://scholar.google.com/citations?user=9chX8ZgAAAAJ&hl=en,f,postdoc,2011,,,,,,148,,,,,,,
Emily Darling,http://scholar.google.com/citations?user=juP1o-UAAAAJ&hl=en,f,postdoc,2012,,,140,,,,,,,,,,
Emily G. Mitchell,http://scholar.google.com/citations?user=Ee738sUAAAAJ&hl=en,f,student,0,,,,,,,,,,,,,93
Emily H Mooney,http://scholar.google.com/citations?user=AJgeAvEAAAAJ&hl=en,f,assistant,2007,,,,610,,,,,,,,,
Emily I. Jones,http://scholar.google.com/citations?user=5Qb9PGcAAAAJ&hl=en,f,postdoc,2009,1457,,,,,,,,,,,,
Emily Rollinson,http://scholar.google.com/citations?user=4juShmQAAAAJ&hl=en,f,student,0,1624,,,,,,,,,,,,
Emily S. Cassidy,http://scholar.google.com/citations?user=ijwXykUAAAAJ&hl=en,f,student,0,1212,,,,,,,,,,,,
Emma L Johnston,http://scholar.google.com/citations?user=NDFto44AAAAJ&hl=en,f,associate,2002,576,,,,,,,,,,,,
Emmanuel DESOUHANT,http://scholar.google.com/citations?user=fEihzaEAAAAJ&hl=en,m,,-999,,,,,,,,,,126,,,
enqing hou,http://scholar.google.com/citations?user=TV2o9IwAAAAJ&hl=en,,,-999,,,,,,,,92,,,,,
Enrico Landaeta Rezende,http://scholar.google.com/citations?user=n_6ZnroAAAAJ&hl=en,m,,2005,,,45,,14,,,,,,,,
Enrique Chaneton,http://scholar.google.com/citations?user=mdGPRhYAAAAJ&hl=en,m,associate,1998,,,51,,,,,,,,,,
Ensheng Weng,http://scholar.google.com/citations?user=kyy_kXkAAAAJ&hl=en,m,postdoc,2011,768,,,,,,,,,,,,
Eoin O'Gorman,http://scholar.google.com/citations?user=NhcW6wQAAAAJ&hl=en,m,postdoc,2009,1031,,,,,,,,,,,,
Epaphras Alex Muse,http://scholar.google.com/citations?user=BiKZ4nEAAAAJ&hl=en,m,,-999,,,,587,,,,,,,,,
Eric Alm,http://scholar.google.com/citations?user=IdcugBgAAAAJ&hl=en,m,associate,2001,175,,,,,,,,,,,,
Eric Grimm,http://scholar.google.com/citations?user=GttqIrYAAAAJ&hl=en,m,,-999,,,,,,,,,,,,,11
Eric Howe,http://scholar.google.com/citations?user=Dwrq7t8AAAAJ&hl=en,m,,-999,,,,,,,,,84,,,,
Eric J Ward,http://scholar.google.com/citations?user=orDmuRkAAAAJ&hl=en,m,,2006,845,,,,,,,,,,,,
Eric J. Fuchs,http://scholar.google.com/citations?user=ZvB7znsAAAAJ&hl=en,m,,2007,814,,,,,,,,,,,,
Eric L Charnov,http://scholar.google.com/citations?user=LYy5Ny8AAAAJ&hl=en,m,full,1973,,,,,,1,,,,2,,,
Eric Lonsdorf,http://scholar.google.com/citations?user=mMlgRCkAAAAJ&hl=en,m,,2004,,,,,,,,,,,,37,
Eric M. Patterson,http://scholar.google.com/citations?user=ZgVoE0wAAAAJ&hl=en,m,student,0,1313,,,,,156,,,,,,,
Eric Marcon,http://scholar.google.com/citations?user=4iLBmbUAAAAJ&hl=en,m,,2010,972,,,,,,,,,,,,
Eric Moody,http://scholar.google.com/citations?user=pbgvH0UAAAAJ&hl=en,m,student,0,,,312,,,,,104,,,,,
Eric R. Larson,http://scholar.google.com/citations?user=w1_vxXcAAAAJ&hl=en,m,postdoc,2011,1172,,,,,,,,,,,,
Eric R. Pianka,http://scholar.google.com/citations?user=E5y_8wIAAAAJ&hl=en,m,full,1965,,,2,,,,,,,3,,,
Eric Rickart,http://scholar.google.com/citations?user=9f2iCn8AAAAJ&hl=en,m,,-999,548,,,,,,,,,,,,
Eric Roberts,http://scholar.google.com/citations?user=9bVrd6wAAAAJ&hl=en,m,emerius,1954,47,,,,,,,,,,,,
Eric Schultz,http://scholar.google.com/citations?user=5e04kZMAAAAJ&hl=en,m,associate,1990,,,,,,,,,,60,,,
Eric Snajdr,http://scholar.google.com/citations?user=7B4WOIQAAAAJ&hl=en,m,,-999,,,,,,76,,,,,,,
Eric Vanderduys,http://scholar.google.com/citations?user=V30_19wAAAAJ&hl=en,m,,-999,1362,,,,,,,,,,,,
Eric Wajnberg,http://scholar.google.com/citations?user=AluPIPwAAAAJ&hl=en,m,,-999,,,,,,,20,,,,,,
Eric Walters,http://scholar.google.com/citations?user=_kAcjKEAAAAJ&hl=en,m,assistant,2004,,,111,,,88,,,,,,,
Erik Jeppesen,http://scholar.google.com/citations?user=rEcCc-wAAAAJ&hl=en,m,,1998,30,,,,,,,,,,,,
Erik Jules,http://scholar.google.com/citations?user=Wzflu20AAAAJ&hl=en,m,,1997,508,,,,,,,,,,,,
Erik Lilleskov,http://scholar.google.com/citations?user=Wpevu44AAAAJ&hl=en,m,,1999,554,,,,,,,,,,,,
Erik Ockinger,http://scholar.google.com/citations?user=S5BKYGkAAAAJ&hl=en,m,assistant,-999,640,,,,,,,,,,,56,
Erik Osnas,http://scholar.google.com/citations?user=SL2x6lMAAAAJ&hl=en,m,,2004,,,,,,,,,52,178,,,
Erik Svensson,http://scholar.google.com/citations?user=-66nqTEAAAAJ&hl=en,m,full,1997,,,,,,,,,,,,,
Erik Welk,http://scholar.google.com/citations?user=xm0NaFQAAAAJ&hl=en,m,,2001,,73,,348,,,,,,,,,
Erin Baerwald,http://scholar.google.com/citations?user=_1tfmzsAAAAJ&hl=en,f,student,0,900,,,,,,,,,,,,
Erin E Saupe,http://scholar.google.com/citations?user=zG45LlAAAAAJ&hl=en,f,student,0,,,,575,,,,,,,,,75
Erin Gillam,http://scholar.google.com/citations?user=W4lij94AAAAJ&hl=en,f,assistant,2007,,,,,,111,,,,,,,
Erin R. Hotchkiss,http://scholar.google.com/citations?user=8Pp5HhgAAAAJ&hl=en,f,student,0,,,,,,,,96,,,,,
Erin Rechisky,http://scholar.google.com/citations?user=7NeB51wAAAAJ&hl=en,f,,-999,1056,,,,,,,,,,,,
Erle C Ellis,http://scholar.google.com/citations?user=V7pvcboAAAAJ&hl=en,,,1990,,,,,,,,,,,,43,
Ermias Azeria,http://scholar.google.com/citations?user=SZdhFxMAAAAJ&hl=en,,,-999,,,191,,,,,,,,,,
Ernesto Ivan Badano,http://scholar.google.com/citations?user=E3uenbcAAAAJ&hl=en,m,,2005,,,71,,,,,,,,,,
Erol Akcay,http://scholar.google.com/citations?user=piKM5NcAAAAJ&hl=en,m,,2008,953,,,,,,,,,,,,
Erzsebet (Elisabeth) Hornung,http://scholar.google.com/citations?user=Q9BadhcAAAAJ&hl=en,f,associate,1979,798,,,297,,,,,,,,,
Esa koskela,http://scholar.google.com/citations?user=67pDeJ4AAAAJ&hl=en,m,,-999,,,,,,,,,,75,,,
Esteban Fernandez-Juricic,http://scholar.google.com/citations?user=f3GIS0QAAAAJ&hl=en,m,associate,2000,,,,,,24,,,,,,,
Esteban Jobbagy,http://scholar.google.com/citations?user=FOnRioYAAAAJ&hl=en,m,,2002,137,,,,,,,,,,,,
Ethan White,http://scholar.google.com/citations?user=pHmra8cAAAAJ&hl=en,m,associate,2005,477,27,50,,,,,,,,,,
Etienne Danchin,http://scholar.google.com/citations?user=kbfmqYEAAAAJ&hl=en,m,,-999,,,,,,,4,,,,,,
Etienne Low-Decarie,http://scholar.google.com/citations?user=hrS_LA0AAAAJ&hl=en,m,student,0,1659,,,,,,,,,,,,
Etsuko Nonaka,http://scholar.google.com/citations?user=noD_LaMAAAAJ&hl=en,f,student,0,,,,,,,,,,204,59,,
Eugene D. Gallagher,http://scholar.google.com/citations?user=U4zIeK4AAAAJ&hl=en,m,associate,1983,439,,,,,,,,,,,,
Eugene Rosa,http://scholar.google.com/citations?user=vnK7aDoAAAAJ&hl=en,m,full,1976,211,,,,,,,,,,,,
Eva Kuczynski,http://scholar.google.com/citations?user=ujRS_yYAAAAJ&hl=en,f,,-999,,,,721,,,,,,,,,
Evan J Pickett,http://scholar.google.com/citations?user=zTMRtwwAAAAJ&hl=en,m,student,0,1726,,,772,,,,,106,,,,
Evan Siemann,http://scholar.google.com/citations?user=Yfkyms8AAAAJ&hl=en,m,full,1997,118,,,,,,,,,,,,
Evan Weiher,http://scholar.google.com/citations?user=XBGihP4AAAAJ&hl=en,m,full,1992,,,26,,,,,,,,,,
Evandro do Nascimiento Silva,http://scholar.google.com/citations?user=KPWU_o0AAAAJ&hl=en,m,,-999,,,,410,,,,,,,,,
Evangelina Schwindt,http://scholar.google.com/citations?user=CamXxGkAAAAJ&hl=en,f,,2001,762,,,,,,,,,,,,
Evert Thomas,http://scholar.google.com/citations?user=ER2Yd1MAAAAJ&hl=en,,,-999,1072,,,,,,,,,,,,
Ewa B. Sliwinska,http://scholar.google.com/citations?user=epujbdoAAAAJ&hl=en,f,,-999,1304,,,,,,,,,,,,
Ewan Edwards,http://scholar.google.com/citations?user=y4FF2RoAAAAJ&hl=en,m,student,0,1669,,,,,,,,,,,,
Ewan Shilland,http://scholar.google.com/citations?user=yf0JgfEAAAAJ&hl=en,m,,-999,958,,,,,,,,,,,,
Exequiel Ezcurra,http://scholar.google.com/citations?user=iDLb9WoAAAAJ&hl=en,m,full,1984,217,,,,,,,,,,,,
Fabiana Schneck,http://scholar.google.com/citations?user=WgdQd3gAAAAJ&hl=en,f,postdoc,2012,,,247,,,,,,,,,,
Fabiany Herrera,http://scholar.google.com/citations?user=vRkad94AAAAJ&hl=en,m,student,0,,,,,,,,,,,,,49
Fabien Anthelme,http://scholar.google.com/citations?user=4IETlnEAAAAJ&hl=en,m,,-999,689,,,,,,,,,,,,
fabien leprieur,http://scholar.google.com/citations?user=xNaCARsAAAAJ&hl=en,,associate,2007,,56,88,,,,,,,,,,
Fabio A. Labra R.,http://scholar.google.com/citations?user=QIHKy1UAAAAJ&hl=en,m,,-999,,72,,,,,,,,,,,
Fabio Bontadina,http://scholar.google.com/citations?user=BRTrMA4AAAAJ&hl=en,m,,2002,669,,,250,,,,,,,,,
Fabio Cortesi,http://scholar.google.com/citations?user=MYggUE4AAAAJ&hl=en,m,student,0,1595,,,,,,,,,,,,
Fabrice Not,http://scholar.google.com/citations?user=kK_F1gYAAAAJ&hl=en,,,-999,491,,,,,,,,,,,,
Fabricio Baccaro,http://scholar.google.com/citations?user=1HMZ0JEAAAAJ&hl=en,m,student,0,,,245,,,,,,,,,,
Fabricio Villalobos,http://scholar.google.com/citations?user=9CxnRG4AAAAJ&hl=en,m,postdoc,2011,,122,,608,,,,,,,,,
Fan Pengfei,http://scholar.google.com/citations?user=ES7KIt8AAAAJ&hl=en,,,-999,,,,,,102,,,,,,,
Fanny M. Cornejo,http://scholar.google.com/citations?user=MTGkyX4AAAAJ&hl=en,f,,-999,1472,,,,,,,,,,,,
Farshid Ahrestani,http://scholar.google.com/citations?user=vT4JGOEAAAAJ&hl=en,m,postdoc,2009,,,210,,,,,,85,,,,
Faysal Bibi,http://scholar.google.com/citations?user=_CZQQZgAAAAJ&hl=en,,,2009,,,,,,,,,,,,,69
FB Vincent Florens,http://scholar.google.com/citations?user=nDUJisIAAAAJ&hl=en,m,associate,2008,1141,,,446,,,,,,,,,
Felipe Barreto,http://scholar.google.com/citations?user=f66WV8wAAAAJ&hl=en,m,postdoc,2009,,,,,,161,,,,,,,
Felipe Paredes,http://scholar.google.com/citations?user=7No-eDkAAAAJ&hl=en,m,student,0,1684,,,,,,,,,,,,
Felipe Pimentel Lopes de Melo,http://scholar.google.com/citations?user=ytoqEukAAAAJ&hl=en,m,,-999,,,190,505,,,,,,,,,
Felipe W. Amorim,http://scholar.google.com/citations?user=HpZ39G4AAAAJ&hl=en,m,student,0,1540,,,,,,,,,,,,
Felisa A. Smith,http://scholar.google.com/citations?user=RrsIFt8AAAAJ&hl=en,f,full,1991,,,,,,,,,,,,,18
Felix Eigenbrod,http://scholar.google.com/citations?user=JVBDupYAAAAJ&hl=en,m,assistant,2008,,,,238,,,,,,,,59,
Felix Ringelhan,http://scholar.google.com/citations?user=t8sKuFgAAAAJ&hl=en,m,student,0,1714,,,,,,,,,,,,
Felix Zajitschek,http://scholar.google.com/citations?user=9EupigYAAAAJ&hl=en,m,postdoc,2007,937,,,,,,,,,,,,
feng wang,http://scholar.google.com/citations?user=SkQm0N8AAAAJ&hl=en,,,-999,1544,,,,,,,,,,,,
Ferdinando Boero,http://scholar.google.com/citations?user=Syro5DUAAAAJ&hl=en,m,full,-999,,,,,,,,,,,,,
Fernando Colchero,http://scholar.google.com/citations?user=-Rh0VOwAAAAJ&hl=en,m,,2008,1173,,,467,,,,,,,,,
Fernando Henrique Farache,http://scholar.google.com/citations?user=Wkiw09gAAAAJ&hl=en,m,student,0,,,288,,,,,,,,,,
Fernando Rodrigues da Silva,http://scholar.google.com/citations?user=8bXxpqYAAAAJ&hl=en,m,,2011,,120,226,,,,,,,,,,
Fhionna Moore,http://scholar.google.com/citations?user=ybeUtVoAAAAJ&hl=en,f,lecturer,2006,671,,,,,,,,,,,,
Filipe Ribeiro,http://scholar.google.com/citations?user=4cMkTBwAAAAJ&hl=en,m,postdoc,-999,,,,343,,,,,,,,,
Finlay Thompson,http://scholar.google.com/citations?user=Ue8sYRoAAAAJ&hl=en,m,,-999,1397,,,602,,,,,,,,,
Finn Borchsenius,http://scholar.google.com/citations?user=fG8eDf4AAAAJ&hl=en,m,associate,-999,696,,,,,,,,,,,,
Finn Danielsen,http://scholar.google.com/citations?user=sOL2970AAAAJ&hl=en,m,,-999,407,,,,,,,,,,,,
Fintan Bracken,http://scholar.google.com/citations?user=v9oKT5AAAAAJ&hl=en,m,,-999,,,,,,,,,,,,158,
Fiona Fidler,http://scholar.google.com/citations?user=6lB0CjwAAAAJ&hl=en,f,,-999,,,,194,,,,,,,,,
Fiorenza Micheli,http://scholar.google.com/citations?user=Le4ScQcAAAAJ&hl=en,f,full,-999,,,11,,,,,,,,,,
Florence Debarre,http://scholar.google.com/citations?user=WkZgrYsAAAAJ&hl=en,f,postdoc,2010,,,,,,,,,,239,,,
Florian Jeltsch,http://scholar.google.com/citations?user=sxdLomwAAAAJ&hl=en,m,full,1992,,,14,,,,,,,,7,,
Folkert K de boer,http://scholar.google.com/citations?user=ia-L2NMAAAAJ&hl=en,m,student,0,,,,678,,,,,,,,,
Forest Isbell,http://scholar.google.com/citations?user=I6gXFR0AAAAJ&hl=en,,postdoc,2010,1047,,,,,,,,,,,,
Frances C. James,http://scholar.google.com/citations?user=QhX97JAAAAAJ&hl=en,f,full,1970,120,,,,,,,,,,,,
Francesca Belem Lopes Palmeira,http://scholar.google.com/citations?user=p8b8-VEAAAAJ&hl=en,f,student,0,,,,603,,,,,,,,,
Francesca Leasi,http://scholar.google.com/citations?user=gPFVF8YAAAAJ&hl=en,f,,-999,,,,,,,,,,223,,,
Francesco Baini,http://scholar.google.com/citations?user=HLks2YIAAAAJ&hl=en,m,,-999,,146,,,,,,,,,,,
Francis J. Burdon,http://scholar.google.com/citations?user=_GSBMj4AAAAJ&hl=en,m,student,0,1447,,,,,,,,,,,,
Francis Ratnieks,http://scholar.google.com/citations?user=mF4l2Z0AAAAJ&hl=en,m,full,-999,,,,,,,2,,,,,,
Francisca Alba Sanchez,http://scholar.google.com/citations?user=6t0ivcUAAAAJ&hl=en,f,,-999,,,,339,,,,,,,,,44
Francisco Arenas,http://scholar.google.com/citations?user=x9pmaxIAAAAJ&hl=en,m,,-999,830,,,,,,,,,,,,
Francisco Encinas-Viso,http://scholar.google.com/citations?user=3fnyFcoAAAAJ&hl=en,m,student,0,,,255,,,,,,,,,,
Francisco Esteves,http://scholar.google.com/citations?user=OCU3kEEAAAAJ&hl=en,m,,-999,185,,,,,,,,,,,,
Francisco Garcia-Gonzalez,http://scholar.google.com/citations?user=yGR0CIgAAAAJ&hl=en,m,,-999,,,,,,,,,,112,,,
Francisco Javier Bonet Garcia,http://scholar.google.com/citations?user=UEtD9nQAAAAJ&hl=en,m,,-999,1285,,,,,,,,,,,,
Francisco Moreira,http://scholar.google.com/citations?user=9WUUXXAAAAAJ&hl=en,m,postdoc,1996,493,,,181,,,,,,,,,
Franco Andreone,http://scholar.google.com/citations?user=m5skJ1cAAAAJ&hl=en,m,,1990,,,,130,,,,,,,,,
Francois Brischoux,http://scholar.google.com/citations?user=YvEG5k0AAAAJ&hl=en,m,,2008,,,,,,,,,,148,,,
Francois Guilhaumon,http://scholar.google.com/citations?user=jJwtZT0AAAAJ&hl=en,m,postdoc,2010,,76,122,374,,,,,,,,,
Francois Malaisse,http://scholar.google.com/citations?user=wLdzZWgAAAAJ&hl=en,m,,-999,397,,,,,,,,,,,,
Francois Michonneau,http://scholar.google.com/citations?user=6wJ8BtAAAAAJ&hl=en,m,student,0,1239,,,,,,,,,,,,
Francois Mougeot,http://scholar.google.com/citations?user=q-HaaGsAAAAJ&hl=en,m,,1999,,,,,,,28,,,74,,,
Francois-Xavier Dechaume-Moncharmont,http://scholar.google.com/citations?user=ge366NsAAAAJ&hl=en,m,assistant,2003,,,,,,,60,,,,,,
Frank Hailer,http://scholar.google.com/citations?user=GEC8f5YAAAAJ&hl=en,m,postdoc,2006,,,,353,,,,,,,,,
Frank Hilker,http://scholar.google.com/citations?user=fL0h-yIAAAAJ&hl=en,m,assistant,2005,,,,,,,,,,,41,,
Frank Marlowe,http://scholar.google.com/citations?user=YOwFJ0IAAAAJ&hl=en,m,,1997,,,,,,16,,,,,,,
Frank W. Davis,http://scholar.google.com/citations?user=zVcCW9UAAAAJ&hl=en,m,full,1982,,,,,,,,,,,,8,
Frank-Thorsten Krell,http://scholar.google.com/citations?user=a5mPMOQAAAAJ&hl=en,m,,1996,612,,,,,,,,,,,,
